,tweet,subtask_a
0,stay fight celebration shannon locker veteran tell rooms,0
1,afford fine lots want could gun fit budget canada insurance control,0
2,son mon min step hot shower suck,1
3,try plug butt cute cop bro,1
4,legislation marijuana public supreme strike court state prohibit college arizona use medical,0
5,low wrong care argue whoever doe gun emotional fact opinion strong control gonna connection really waste issue arguing learn,0
6,doctor interest marijuana available outpace far via research medical,0
7,support friend share must common gun control read sense,0
8,ever life hear like dumb shit whf,1
9,come know want shit stacks piling hook anymore interact desk agree let agent disgrace throw say one clinton drama letters resignation unfolding,1
10,royal self completion reading ceremony ship condition marriage,0
11,vote congress protect marijuana interference surprise federal via medical,0
12,support falls gun nationwide control,0
13,ooh find hope pineapple love cold,0
14,delivery patient new home york state care expand service columbia,0
15,obama everywhere stun,0
16,difficult listen legislation denton marijuana recent interview surprise ask morris john co texas pass might answer great medical,0
17,cut could sexy touch impressive fast typing girl class fail type tell,0
18,agree new rough roads starting means ahead unfortunate like bad something press,0
19,yeah directive say anyone shit full,1
20,collier month vote lack commission marijuana shop put issue via medical,0
21,percent people answer correctly,0
22,agree awesome pretty right,0
23,mute guess,0
24,new support gun poll control slip,0
25,good boy cyrus looking go friend meet click affectionate sweet walk people love smart doggie picky,0
26,maybe try doe tweet sense gun make sort control hell,1
27,fuck single give,1
28,guess oil today becky beat away get kid cause ass ina,1
29,honest simple going keep prayer,0
30,month represent best looking symbol reveal person say born soul kind,0
31,doe anyone know,0
32,support overwhelm even factual gun majority increase american control,0
33,governor patient oppose lawsuit marijuana utah opponent jumping medical,0
34,ban come place saving peaceful today kneeling longer protest gun patriot life wanna kill control hmm conduct,0
35,smug look,0
36,west marijuana must weed may revisit virginia legislature medical,0
37,rule high marijuana court whether college arizona ban medical,0
38,monogamy rule interest feeling already love series,0
39,report industry giving marijuana share weed market away fed boating grab canada israel billion american medical,0
40,refer waste organize decriminalize nice medical actual tax drug dollar crime million marijuana focus farm problem government state america,0
41,love sweet,0
42,governor patient oppose lawsuit marijuana utah opponent jumping medical,0
43,get wedding,0
44,wearing linda ike see reply photo semi bust moon bump olin logo expose,0
45,ready,0
46,doe marijuana yet include state legal medical,0
47,patient new discuss study find oncologist use medical,0
48,wearing linda ike see reply photo semi bust moon bump olin logo expose,0
49,banana president fealty oil republic matter thing irrelevant dictator competence character,0
50,festival okay strasbourg day much year actually could go last every attend deeper an first suck,0
51,pope friend film nazi though pius,0
52,free worst fucking experience life,1
53,real bastard disease labrador wheaten lyme golden retriever sister risk female kill tick dog terrier,1
54,would support de father gun kid dead founding via bizarre control think,0
55,learn medium temporarily violate policy account twitter unavailable,0
56,turn mindset day modern gomorrah california sick disgustingly sodom,0
57,turn woman best low us senate politics identity black first,0
58,nihilism destroy arbs guess thank ate beauty eat nothing,0
59,governor emphasizing flashy lack call today headline continue display gun girl local legislature something control,0
60,trump personal hold water else doe everyone obama every account twitter donald treat right different accord,0
61,harassers rule throw twitter harassment purpose individual single,0
62,oppose marijuana ballot headline understand june people saw medical,0
63,rule marijuana campus court arizona medical,0
64,trump little things get marco,1
65,rampant shall see shadow ruling censorship may algorithmic twitter implication use ban,0
66,talking good hold stop ride question sure never make crazy,0
67,cam retire sir believe please back,0
68,represent swamp interest professionally suddenly would aka late toga domestic politics establishment usual trust business influential operate foreign found equally,0
69,turn away anything laws gun already violence one god condition control nation general jehovah us effect heart human cause,0
70,kid parody,0
71,fuck footnote wei go always play fiona dweeb like shit,1
72,try hunt know news us everyone already fake working shit witch,1
73,imagine pay wings undercooked show video,0
74,years today kummel funny nil man ago prop remember,0
75,sure go,0
76,shock police apply minority gun hash tag use learn,0
77,playing fine number get better girl quit ass,1
78,act good blah shit matt feel make like worry,1
79,ugh worst,1
80,internet archive evidence reputation bank company sell isis propaganda stalker are remove,0
81,double liberal block bias standard regular,0
82,school safety hawkins gun air control breath art,0
83,future news cannabis marijuana micro dosing medical,0
84,enter study partner lambert invite university,0
85,doe marijuana see anyone hurt please medical,0
86,news,0
87,maybe know plate wings buy wrong yes coat people gold chicken,0
88,card marijuana influence easy say way situation medical,0
89,good,0
90,fuck hater gemini tbs fans,1
91,maybe date years jim addle obama fed mind sandwich country shit confuse,1
92,rip one work great love american,0
93,obey criminal laws period gun control breath art,0
94,ready like cock blow two shotgun ironic,1
95,fucking irritate,1
96,safe best secretary education wrong obama gun kid way keep control,0
97,suppose fucking explain stop asking goddamn tell,1
98,case department voter marijuana health prepare plan measure approve medical,0
99,patient let marijuana decide florida smoke judge medical,0
100,honor mueller apart happen appear recuse plead sessions law fall works cooperate guilty recusal,0
101,slope slippery stop censoring going dangerous opinion twitter,0
102,doe jim one say carry irrelevant care,0
103,anita husband day nexus hush a hake,0
104,come okay talking boy army always soy save shit spartan unlike gay talks branch pathetic fucking everyone libya world body like people,1
105,click watch,0
106,much love,0
107,lit boring fucking year british thinking first college cathedral read back,1
108,lose bitch,1
109,maybe label instead start viable marijuana could allow schedule substitute medical,0
110,glad yes bad shit tomorrow look,1
111,come call last jugular sasha really night scorpio fetish bitch,1
112,cancer gupta orally lung medical study schizophrenia student killing work show smoke learning destroy marijuana wealth take ethic teacher research new business yes zone,0
113,arrest marijuana campus supreme court arizona subject medical,0
114,build republic extremely want gun opinion america far american control unpopular,0
115,sorry heartbreaking lucky news,0
116,month tell big looking everyone june bout keep crazy,0
117,antithesis capitalism democracy,0
118,foresters,0
119,even want bash ask sick plane well show place need get lib comedian tire trump message funny pay using family crap,0
120,arrogance price fame,0
121,even stock enough republican bump student discussion re publ gun die vega high congress pulse ban control school la year happen dead people,0
122,ass lame give,1
123,possible pocket many official want go government strongly nothing ora gun take right people push,0
124,president guy ate comment get threaten way twitter keep back,0
125,would coventry good wait site hour today food however times ask service usually absolutely long blank,1
126,trump top supporting destroy stop want democracy money corruption never keep illegitimate american racketeer,0
127,let know call click want dial look mama tone phone raise shit break bitch,1
128,provide topic unit storage read medical table industry discussion bring marijuana growing weed pass keep new best law state like expand,0
129,thinking pretty polly hoe decent bitch,1
130,feel move touching profound,0
131,public insult,0
132,live heisman attack public ill address ethan deal neva hack show stream iota curl publish,0
133,thank get overtime working goodness,0
134,ready help chief breaking go unanswered spirit attention repeat request warden,0
135,podcast guest parsers erin ask passionate,0
136,low tweet actually like read,0
137,yes,0
138,position soon squad consolidate manager job emery think next might arsenal primary major top good able season overhaul asking trophy,0
139,abrams rooting luck best stacey,0
140,asking make qualify first,0
141,mishandle last even football organization issue shit important fan first time,1
142,sorry caring,0
143,man good,0
144,old report call year news even teenager paper child like,0
145,safe best secretary education wrong obama gun kid way keep control,0
146,giant whole even heart simba love dumbness time,1
147,think president big meet ill really every preside former alk sch speak time,0
148,send specialize medical cards call ohio would card find obtain marijuana get team patient message helping us across give like information,0
149,bonus sound instead giving big fat personnel cutting pay wages well like co,0
150,lovely meet georgia,0
151,yeah tax pay,0
152,min nicely us hot latina girlfriend sucking,1
153,rep top farm cannabis quality flower propose federal bill better,0
154,probably mon send event want sadly go dad face could first brave proud say every single time picture really like megan alone,0
155,playoff man need map two run show especially house eth time,0
156,thug much little even like,0
157,mental us beating left see always never violent conservative volume democrat speak,1
158,school push par guess silly action administration kid allow shot devote without gun course control energy,0
159,seeing lobby cong remember start scores hope st trap lose still reason grow get york set felt bad keep time tumble top ego desperate please,1
160,move sap pelt re millard rios hit tie list seth career lancaster kevin goodall hole ecu team eth lead year give like,0
161,amuse glad,0
162,infinity wolf white man captain bon alpha war girlfriend,1
163,sandy vote hook day mad obama major gun remember control,1
164,tom damp perfectly fuck water rude cold calm splash stop childish victim bit shes fine assault yes treat like sort,0
165,dosage point cannabis marijuana opioid combination boost effectiveness higher without require animal use,0
166,trump quarter conman business salary donate wish every cause entire world worthwhile,0
167,rev laws marijuana state unite use systematic adolescent medical,0
168,glad wait see focus gun right issue important control time,1
169,concept screw would face doe go seriously first get debate put dumas very right judge amendment,1
170,would league doe discrimination affect asking respect gun player way football expect anthem control,0
171,together seriously need get shit,0
172,one need jacket,0
173,body find boyfriend lonely first,1
174,fuck fucking horny waking keep,1
175,last go sure meltdown learn,0
176,rap interest rates us strict laws get higher gun country mortality bad,0
177,face trust celebrity everyone get smooth skin wanna shit perfect apparently,1
178,obey move sick job whatever democrat left spa fact party factory company throw sea outsource years piece standard crap give lie,1
179,audience know doe go tim campaign mccray done,0
180,would conclude double years previous contract pay move two episode equivalent back terms,0
181,new board government member provincial,0
182,vote perform age grand edition prize,0
183,trump supporter agree aware non need wrong gun well politics republican control,0
184,gracious dignify,0
185,illegal true blocking twitter,0
186,want offer lowest impeach democrat green yet black bring al president understand divisiveness hatred representative unemployment hypocrisy level hard american,1
187,vote everyone show numbers definitely,0
188,probably best sell political administration spy opponent bow profit uranium enemy use,0
189,bite,0
190,cancer wearing awareness also breast team gun penalize unrelated sad completely pink control,0
191,know little end sick isis hint tell soul de behold listen deserve closely one girl clips world body us owe cause,0
192,marijuana opioid addiction pennsylvania state treat become approve first medical,0
193,agree help cant,0
194,fine perfectly proud love beautiful,0
195,pic free going bug,0
196,trump none official case start public buchwald block one naomi twitter judge,0
197,sweetie amaze,0
198,old remake game yakima of up something ass fps port thing final need outdated require fantasy vii hence hold psi,0
199,orange popcorn obama silent play propaganda hack wearing well suddenly admin screaming anyone rest brain pantsuit foul hear guilty expose,0
200,gas case meet bad station manager ass,1
201,reference match scientist engineer pun emphasize gender exclude mad title show story era woman tempt get inequality recent times data men unnecessarily,0
202,error past help kindly need hello getting,0
203,next,0
204,see wanna shit ass cash,1
205,resist stupidity money sleep honouring level amaze,1
206,office long endless hateful comment stay obama presidential administration john cause loser far candidate mccain,1
207,corrupt dishonest schemer liar representative,1
208,glad ever online talk meet chris one crap people nice,0
209,radiant utterly,0
210,taking start hand need systematically may pc theresa ammunition love use,1
211,vote waste senator go another running opportunity jealous great meanwhile mediocre candidate stick,1
212,insect marijuana curated of egg cost found medical,0
213,church screw new really nothing catholic,1
214,think fucking people vela time,1
215,card rule medical marijuana campus person university supreme criminalize court cannot opinion arizona legislature read possession,0
216,artwork,0
217,low man see action illusion,0
218,painkiller productive doctor follow cannabis tip conversation suggest people effective management,0
219,rule marijuana campus supreme court schedule college arizona legality medical,0
220,things change,0
221,brethren could thing two human fruit fly inches learn,0
222,know reason call teenager block thought nut insult better,0
223,click picture,0
224,washington barry aka joe production go senior obama barack pedro netflix,0
225,traitor kill,1
226,fuck month hospital wrist going nearly see really wrong time,1
227,live event big go ticket hit sherry sunday island dare sing take get girl along enter remain cry eyes like,0
228,sensible help ensure heighten always ability buy affect somehow say gun way regulation someone hear people worry control,0
229,wish care,0
230,milk offer beat crib pull getting ass cockroach,1
231,hypocrite bright poor bring definitely,1
232,run crying chuck rest,0
233,good ditto lottery team say player st contend compare option better look,0
234,lay know comment melanie automatically jimmy may scoop twitter type correct,1
235,wish cocker best,1
236,come boy face sense see common hogg childish bald liar america back,1
237,toxic oil always glad relationship thought ship sad right woman respect get happy say never healthy nothing feel hear,0
238,titan remember know together gift pastoral reading language character real awe dust thought st artistry complex provoke bite weaving felt another like american,0
239,living know emo doubt right,0
240,citizen would cheer young hero cheering feeling little gay yet hey crowd realize hello wave fluster,0
241,bringing woman call responsibility want pregnancy legislatively men reproduction everything conservative aversion control unwanted,0
242,make,0
243,seed idea scientist thanks today much connection sharing us eugenie discover clark make fish great dissect learn,0
244,hide group setting knowing always agenda amnesty trust us going election mode surprise similar nasty,0
245,would pooping upon happen also board ago seem thread nothing long deep header chess,1
246,touch worth tell voucher regard value test contact getting would afraid bank point need club card thanks however times tristan information,0
247,would truly fervour distract mob big ever anger add drive see society one revenge driving care dis,0
248,even pretty guy sad,0
249,arsenal go,0
250,org beautiful,0
251,eff ready getting,0
252,bbl tweet nyx california already shit remember,1
253,body official count aboard fighting welcome,0
254,live want fox attention smart ass hire trigger foolish news calling one debate done time arguments much fool pussy people herd,1
255,help cannabis marijuana cream disease baby miracle skin rare medical,0
256,threshold even man yet holy bathroom one approval cross tuesday remark astonish whistling smell shit bad via,1
257,oral love performance attendee satisfy,1
258,people jail go need,0
259,low worse man shit world getting keep tire,1
260,president basic values want trust truth ambassador always loyalty wife say include jim john moral people tell think,0
261,separate bedroom ger right,0
262,classic fucking style,1
263,mon many call league us nil say boycott joining,1
264,text video,0
265,list many think,0
266,toby water go moth luxury must dick hate gypsy vicarious liner story love sea,0
267,wearing linda ike see reply photo semi bust moon bump olin logo expose,0
268,murder mass delusional make measure chip utterly snap gun medicaid life would pro cut keep control school young enact really people,0
269,come chew orgasm like nut,1
270,talk everyone seem beach man hear people retreated,0
271,safe magazine marijuana pet give al medical,0
272,west marijuana issue banking attorney virginia medical,0
273,lead jim appropriately cast carey dumb,0
274,come marijuana campus supreme decision court write medical,0
275,yeah sexual relationship opposite every sex romantic,0
276,hurting feelings twitter,0
277,legalize pipe good basic marijuana bill buddy put ohio smoke sign medical,0
278,inc marijuana revenue quarter company announce large sales medical,0
279,know want marijuana state approving american epilepsy medical,0
280,snap deal fool customer buy anything,0
281,fuck shit fat piece,1
282,marijuana house nothing missouri smokescreen bill medical,0
283,screw gun shot someone control speak,0
284,author per trademark agent forever facebook post say miscommunication cancel impersonator update via request,0
285,clear matter busy priority reflect see life love machine hum everyone embrace flavor happiness private taste eyes remember sense natural,0
286,zionist miss rip also dearly great,0
287,disease marijuana human treat medical,0
288,johnny trina marry,0
289,aware know history movie intrigue book,0
290,come idea parks us love phone charge great spend die stations thru hate time,0
291,fine,1
292,animal lose street want straw bunch baby liberal mind cop environment care gang ban,0
293,resist,0
294,cunt check,1
295,yeah chief thanks flip award emmy flop winning gun iran idiot everything nobel control,1
296,try free living short adult happen want education cuba see government youth gun healthcare amaze sight everything control,0
297,judicial say anyone overreach,0
298,talk faction ago several anything enough consider hell doe gay everything narcissist need take others shame apr years siding community,0
299,low provide tons def firearm cd doe gun show use report literally crime stop proof also stopping violent control citizen acts arm state,0
300,let congress away get anything willing everything sch apparently,0
301,get shot ass like,1
302,fuck,1
303,disgust hey,1
304,murderous corrupt hands history government thing gun centralization world institution prove control,0
305,summer literature positive perusal,0
306,would vote aka la happen obama first look,0
307,dos draft kings whitman lineup,0
308,plant dateline miss many cd oil marijuana growing promise yet curious episode scrutinize demonize beneficial look medical,0
309,criminal pick santa intend else shoot calling gun anything victim shooter murderer people become moment insult,0
310,imagine young min day really feel grateful born special,0
311,guess start national need reveal gun level car defining control,0
312,orgasm really like weird look,0
313,ringing hit like upon sometimes thought true ding brain crystal impression back,0
314,fade month reuters support is of gun massacre florida three poll via control,0
315,day today advisor may schedule handle hard make save important time,0
316,precious cover fact horrible well rest may christian family die tragedy,0
317,doe block mean superstar unblock sue hah aha,1
